N,general_info_BoundingBox,general_info_EnabledImageTypes,general_info_GeneralSettings,general_info_ImageHash,general_info_ImageSpacing,general_info_MaskHash,general_info_NumpyVersion,general_info_PyWaveletVersion,general_info_SimpleITKVersion,general_info_Version,general_info_VolumeNum,general_info_VoxelNum,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxis,original_shape_MajorAxis,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MinorAxis,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_Volume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,score,positive_score
0,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",c62eccbdb73e6b5a22111d76130e3a301a5ed775,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,97,145,65670461,1.687139856,26,2.718319703,182,14.94851111,119.398,117,61,121,10.80337988,120.8032937,0.349003926,65670461,0.361296889,337.5533738,11.16358995,9.738098019,1.022721796,1.859654871,0.63532671,0.490711403,0.538595413,1.222450688,0.343525617,0.746452517,0.740375423,0.983249287,0.924767445,-0.124675479,0.57955905,0.457465645,3.295050779,0.15385589,3.168112085,0.304296088,6.590101559,2.450498614,0.623745395,5.859483113,232.1346667,0.051585481,27.55804662,1625.836,0.620894617,11.552,187.0693333,2078.760889,19.36445198,0.110425185,0.02425264,0.321140313,0.003549461,783.1107361,0.314698357,0.756416296,11.76663177,5.037558484,56.50235793,0.535642175,0.114703946,3.555126132,992.9123536,0.396346322,0.552700855,1.700631986,0.646966889,7.70417449,0.076881221,13.86206897,0.239001189,2.27705113,15.13793103,122153.7931,1301584.31,12619.67064,0.165727969,28.24137931,0.486920333,0.713641306,10.80796586,0.128567746,3.69379059,0.012888889,116134.1736,24.5086731,0.001831104,6.405952851,0.017400562,0.022678882,0,BG
1,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",e939ef5e7f46384ac0447322cbf4877dc891e7fb,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,98,151,70036585,1.792212385,27,2.757777345,186,15.94523398,123.1602222,122,69,117,11.41420131,124.7545011,0.292035987,70036585,0.331635753,395.2452177,12.35115139,14.38529814,1.179483587,2.273311829,0.62394746,0.56936004,0.538618892,1.204469557,0.331933753,0.7446818,0.739223411,0.983499901,0.924567207,-0.160904163,0.657694274,0.466130343,3.455243718,0.134341981,3.304743925,0.254782928,6.910487437,2.602167291,0.724314822,5.957376483,251.5733333,0.055905185,23.88058765,1492.360889,0.71999684,12.59644444,180.3528889,2219.385778,17.9530366,0.103002284,0.022370191,0.331297854,0.002978835,773.5433446,0.308321066,0.804026262,12.74416786,4.818128456,59.60364738,0.486084445,0.105438212,3.616851639,991.8881185,0.392693714,0.557350427,1.541837482,0.641571368,8.247495883,0.069402397,18.40625,0.287597656,2.71484375,15.40625,100776.6563,1185556.469,9501.353902,0.163888889,19.125,0.298828125,0.563153946,10.33803327,0.088494966,4.09017169,0.014222222,95832.80859,25.45528713,0.001811128,6.349799756,0.020359409,0.022881856,0,BG
2,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",5ff1b0358b82babdac1df3be6a26c5a2362ee3ec,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,100,168,84903445,2.076327582,43,2.009284134,197,21.89090914,134.9468889,136,68,129,17.14201184,137.3587719,-0.077144681,84903445,0.257527012,656.7694014,16.14163832,30.68011352,-0.665686185,3.927230547,0.614662343,0.729441115,0.530661452,1.198902792,0.330020708,0.7485099,0.743069363,0.98374012,0.925683641,-0.26501105,0.814114342,0.458667269,3.913243227,0.102058918,3.613504806,0.176148269,7.826486454,2.926093201,1.135473222,6.275362654,241.892,0.053753778,25.691744,1158.871556,1.121327951,16.42333333,186.5417778,3150.043778,14.76625222,0.086024815,0.022614763,0.404491286,0.002162923,607.3269487,0.244875977,1.209362379,16.27897441,4.958319497,82.84892946,0.405077864,0.089428278,3.897184892,965.0607917,0.385981671,0.550666667,1.585631051,0.635985379,10.32371617,0.058611479,13.61818182,0.247603306,1.900826446,18.63636364,89245.27273,1500774.164,6604.370778,0.102752525,25.32727273,0.460495868,0.689798301,12.47094133,0.072565214,3.681307337,0.012222222,82551.05785,19.40992925,0.002389858,5.691305686,0.029933812,0.028020634,0,BG
3,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",2f7a45e798205fcb6ed2ddc4ce36650d2bd799f5,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,101,163,76723903,1.968922412,33,2.636773414,200,18.89351684,128.4784444,125,74,126,13.65378012,130.5747151,0.459416228,76723903,0.292647407,543.0455354,13.96581004,26.26740949,2.913455373,3.101469337,0.668271824,0.645414207,0.561109459,1.241423684,0.351394512,0.736972948,0.730158591,0.986892379,0.931338518,-0.201309654,0.735127829,0.470464204,3.654742511,0.1161712,3.530485119,0.230600494,7.309485022,2.78155525,0.94243529,6.128263853,245.8008889,0.05462242,25.08638143,1316.836,0.950814617,14.392,174.8822222,2436.272,15.52167497,0.09337398,0.022034361,0.345299656,0.002729354,687.9198985,0.269185875,1.059943362,14.5678987,4.620383559,64.85493913,0.420613178,0.096425195,3.75015815,1036.266694,0.402741095,0.567726496,1.461961078,0.651013353,9.521317449,0.065127297,14.65384615,0.281804734,2.93602071,17.28846154,109346.4615,1374850.5,9917.077695,0.1448102,19.96153846,0.38387574,0.639225814,11.88292231,0.093360215,3.769815791,0.011555556,101857.5562,17.31259957,0.002117353,8.688506535,0.018860647,0.037807391,0,BG
4,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",f713d60f380a919c4f9e247ede7254255225888a,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,120,179,105447879,1.928108226,33,2.723454524,206,18.23956504,151.4446667,154,71,135,13.54692998,153.0779605,-0.410499863,105447879,0.300370667,497.3749382,21.57553958,21.64926441,-1.685779967,2.761056084,0.652048987,0.617458748,0.554620755,1.224885334,0.342513169,0.738550155,0.732426759,0.98719702,0.932012845,-0.184266026,0.705850517,0.47289639,4.58780945,0.118174719,3.469822399,0.226817777,9.175618901,2.743453399,0.853276268,6.091629526,255.9991111,0.056888691,22.98023822,1351.668,0.875502765,21.80511111,173.5822222,3886.075333,8.969176966,0.056599582,0.024376087,0.509803543,0.001971511,710.39221,0.278568913,0.989263704,21.53771838,4.63696015,102.5286474,0.248743456,0.059249872,3.725796607,1024.417851,0.399269282,0.566461538,1.461637798,0.647332615,13.79729874,0.039925602,12.50769231,0.192426036,2.919763314,20.43076923,90153.63077,2028155.4,4344.078936,0.106236264,29.64615385,0.456094675,0.696152825,14.25417022,0.068986645,3.931657563,0.014444444,85360.73136,13.25282903,0.001987068,9.085561577,0.017549161,0.038477032,0,BG
5,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",5843d4d3cce7dc5047499fb2ffbc7417c8aba88c,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,101,171,84009856,2.110783576,44,2.015820429,200,22.44149412,134.0951111,131.5,70,130,17.62011523,136.6340254,0.188250928,84009856,0.254261235,687.358065,15.86949581,34.48072755,2.021483367,4.0769481,0.669402995,0.717917549,0.558563992,1.244759863,0.355362182,0.738607936,0.731793301,0.986889777,0.931699269,-0.250423733,0.805065098,0.46702768,3.875248033,0.098678653,3.698423582,0.196350767,7.750496066,2.951160101,1.186587774,6.278496771,246.0097778,0.05466884,25.02026054,1144.028444,1.18735684,16.25555556,176.6822222,2782.986222,14.49985139,0.086832622,0.021892787,0.365222737,0.002658211,598.9807189,0.235546618,1.311470917,16.46996213,4.694473822,74.60226463,0.395706248,0.089813906,3.894676852,1028.824286,0.401873464,0.564803419,1.504175993,0.650344142,10.79601135,0.060499368,10.92,0.2184,2.5444,15.94,99407.2,1474199,8186.377247,0.154791497,20.48,0.4096,0.658164056,10.42895678,0.110411323,3.99378632,0.011111111,91307.2,15.80213728,0.00241553,8.382284587,0.023481023,0.038965043,0,BG
6,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",bca401dd2c33f6555089cab9ec5955deae01f106,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,118,184,108581259,2.044811605,35,2.553462295,210,20.27245304,153.3468889,156,74,136,14.71431278,155.3356645,-0.401115407,108581259,0.270333432,613.9003348,22.16056742,31.53104753,-2.182470755,3.571706388,0.604698284,0.710282458,0.516818649,1.204724285,0.336157176,0.755930728,0.750375723,0.988119014,0.936607926,-0.249089166,0.796916054,0.442798677,4.628024709,0.108258707,3.577957786,0.208067766,9.256049418,2.897881955,1.044101168,6.347871332,230.0826667,0.051129481,28.64664217,1216.500444,1.053871556,22.726,198.4333333,4682.032222,10.19472288,0.056211795,0.023188834,0.53721177,0.001867551,628.1018881,0.259782388,1.146726811,22.34754064,5.273060063,123.2144818,0.27918379,0.059174424,3.929805447,913.196671,0.375217709,0.537299145,1.74053434,0.627090118,13.87920858,0.038891263,11.76056338,0.165641738,3.199365205,24.28169014,72524.70423,1691382.155,3491.170472,0.095884593,18.69014085,0.26324142,0.525363094,12.96660816,0.052561177,4.680680042,0.015777778,68507.64412,12.43964157,0.002211599,8.40843958,0.019848764,0.043131552,0,BG
7,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",738f544d2cf982e8cdd670c1797c3db13c6d9049,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,147,188,128974232,1.512482042,22,3.4194336,213,12.80364089,168.5368889,170,92,121,9.24111746,169.2954236,-0.517153199,128974232,0.396325432,256.2575281,18.49459129,5.989341453,-0.731037449,1.416685665,0.519708199,0.462985441,0.472615008,1.123166619,0.295536586,0.771487621,0.768401815,0.986148818,0.933321961,-0.117513989,0.541332565,0.431916012,4.274381811,0.180828455,2.824382883,0.281632515,8.548763622,2.242180131,0.484098466,5.773005779,226.1137778,0.050247506,29.73401106,1783.464444,0.49463758,18.73133333,214.5368889,4207.578889,11.84188056,0.060874259,0.025247879,0.491733141,0.002122319,840.8175499,0.362247228,0.591663347,18.24037479,5.889092476,113.45286,0.337303807,0.064550722,3.52765195,840.8528599,0.360012947,0.515606838,2.052511917,0.61341784,10.94304646,0.041725887,17.94871795,0.230111769,2.357001972,20.25641026,100077.9487,1928030.218,5489.437639,0.098678775,38.76923077,0.49704142,0.727989389,15.3981824,0.070334978,3.676368754,0.017333333,96749.54635,19.65429655,0.001619379,6.547911053,0.012873174,0.027357059,0,BG
8,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",f490f36a063f57111eec7414048dec6456f560f4,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,135,190,124297606,1.828116625,31,2.554571146,211,17.37741511,164.864,168,98,113,12.95360076,166.1977443,-0.432075244,124297606,0.316373432,441.5517262,17.51432285,17.24346836,-1.848934857,2.608188739,0.563829491,0.644530526,0.496303625,1.166586599,0.316200784,0.763022422,0.758600774,0.985041178,0.930301488,-0.208771821,0.728508518,0.437974771,4.123491214,0.134903234,3.282392482,0.232866438,8.246982429,2.650332113,0.793004558,6.078318554,220.9782222,0.049106272,30.97132662,1423.680444,0.785782667,17.77666667,207.6013333,3951.855333,13.01536796,0.071552778,0.025503139,0.503162689,0.002372782,709.4175449,0.298771918,0.872771267,17.22679176,5.721353229,107.6746683,0.370520453,0.076718663,3.757612893,894.2547216,0.373891344,0.527299145,2.039879495,0.626547217,10.66964338,0.05056448,19.85,0.248125,2.91734375,20.6625,78240.675,1473985.238,4664.244719,0.120559028,31.8,0.3975,0.651968083,14.57314769,0.060115265,3.88506809,0.017777778,75076.6125,18.57074365,0.001948854,6.050662445,0.020541179,0.027810389,0,BG
9,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",255f09f53c18b29cbceb28d4a8d41861705ef0b1,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,143,191,130607156,1.711976207,23,4.786458258,212,15.58768593,169.0853333,173,83,129,9.922065072,170.3637651,-1.247203856,130607156,0.366261432,433.962496,19.23302604,29.62814935,-5.016913677,2.426130344,0.538081858,0.635665602,0.474190536,1.150867372,0.311999795,0.773331801,0.769293864,0.985733027,0.933388864,-0.19596109,0.689685096,0.420377426,4.331344123,0.178683242,3.030055815,0.310001744,8.662688245,2.436789995,0.74105305,5.925186762,207.7582222,0.046168494,34.75338943,1648.176444,0.772705728,19.16155556,223.4066667,4687.403333,12.76962074,0.070839753,0.023010506,0.43865301,0.002632154,743.6640782,0.323858456,0.898860118,18.16189719,6.386603432,131.6697402,0.38623724,0.080215645,3.739629279,849.372449,0.367256556,0.510188034,2.459748594,0.621673388,10.91657746,0.054988655,16.75384615,0.257751479,2.901775148,19.52307692,112287.1692,2356090.877,5756.200077,0.152675214,23.83076923,0.366627219,0.626742111,13.05285798,0.069915571,3.968564553,0.014444444,107494.2698,18.12105211,0.001741615,6.125324266,0.019933584,0.029706442,0,BG
10,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",e2ef65b1054026293577e8cff4b64bd5b5567459,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,99,173,79929395,2.13795095,37,2.572390223,205,22.22998874,130.4553333,126,63,142,16.22189183,133.2744828,0.558781342,79929395,0.261230321,743.4937827,14.53358912,50.39058863,5.927332492,4.245615168,0.644735144,0.735984775,0.549529088,1.221701275,0.34084296,0.74084558,0.734750424,0.987332868,0.93262244,-0.26143348,0.814901367,0.468616568,3.692291764,0.105946776,3.670713508,0.221525747,7.384583528,2.946021775,1.222587578,6.244075798,254.728,0.056606222,23.45159289,1175.536444,1.265833877,15.21688889,176.452,2671.983111,15.76277833,0.095655558,0.023606159,0.434661764,0.003367747,612.4804351,0.241958434,1.341458388,15.28983526,4.661572227,70.43855735,0.429217425,0.099322299,3.917787135,1005.340069,0.394456104,0.562717949,1.45014337,0.643057052,9.848393771,0.066446042,12.0625,0.188476563,3.573974609,22.578125,81012.21875,1035510.75,7666.494034,0.166303058,27.5625,0.430664063,0.678565276,15.13899634,0.128216874,4.086603503,0.014222222,76068.37109,17.54966893,0.002332658,8.272092155,0.024863508,0.040246338,0,BG
11,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",3e720249a4239629255552e7a7e2c246737b58d7,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,100,171,82149773,2.130450286,40,2.361325315,210,22.00470341,132.5064444,129,71,139,16.59853569,135.1129347,0.359094954,82149773,0.255796247,697.5472918,14.94080361,38.3169392,3.643055363,3.862656197,0.750538893,0.673755695,0.601663132,1.299012575,0.384154647,0.72321615,0.71405601,0.985360698,0.92683433,-0.213936123,0.763270406,0.478620993,3.763251834,0.096077243,3.757576853,0.192513633,7.526503668,2.935199432,1.153298773,6.21403886,261.6111111,0.058135802,22.38310617,1151.083111,1.196896,15.77911111,160.6284444,2470.391556,13.63518736,0.089935595,0.021614886,0.394526087,0.002549989,631.2530551,0.239248328,1.297228274,15.96306192,4.314315394,66.78913802,0.376839259,0.09271343,3.824702199,1120.513365,0.420652045,0.586239316,1.329399965,0.66619962,10.70027545,0.063777947,9.045454545,0.205578512,3.262396694,21.90909091,110038.7273,1468590.409,9851.452165,0.13418187,17.63636364,0.400826446,0.649586299,13.91732424,0.104674943,3.875128417,0.009777778,99579.01653,16.76826268,0.002346989,8.572390466,0.024324996,0.038122652,0,BG
12,"(0, 0, 0, 15, 15, 20)",{'Original': {}},"{'minimumROIDimensions': 1, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'enableCExtensions': True, 'additionalInfo': True, 'verbose': False}",14db072128f1c5b51bccd953ef76b21498d053aa,"(1.0, 1.0, 1.0)",43cf8dfb9f1115c6f62383267418efc41b82cc89,1.14.2,0.5.2,1.1.0,1.3.0.post92+g974a734,1,4500,0.749268649,0.749268649,17.2819752,23.06512519,23.60084744,23.60084744,19.79898987,27.44084547,17.2819752,0.828666066,1590.668126,0.353481806,4500,114,180,104064797,2.044019393,36,2.420812939,204,20.46693778,150.0477778,154,83,121,15.25872388,152.0707416,-0.428981313,104064797,0.270667062,611.1748284,13.19248531,29.97026958,-2.603139924,3.525298046,0.686246087,0.673869941,0.567575417,1.252651693,0.359579577,0.735378095,0.728079358,0.981980268,0.921007743,-0.218683365,0.760235288,0.469524634,3.533081433,0.105336467,3.619338075,0.218829583,7.066162866,2.873139299,1.052886033,6.245466658,245.3648889,0.054525531,24.9400881,1218.001778,1.072856247,13.50866667,173.8017778,2490.280222,17.11799414,0.126191296,0.022872281,0.305659871,0.005339893,646.0411469,0.252283934,1.186930827,13.15531268,4.635573145,64.73842136,0.511124615,0.140853071,3.813165337,1048.295124,0.405422271,0.569196581,1.469588463,0.653651771,8.424898204,0.100937386,10.59259259,0.196159122,3.146776406,12.37037037,97858.03704,1408349.167,8428.008884,0.379573045,23.62962963,0.437585734,0.679279363,10.2068377,0.205888309,3.948079513,0.012,90913.59259,22.35575103,0.002099794,6.106268774,0.03074247,0.024755821,0,BG
